cruise_id,station,lat_dec,lon_dec,station_type
WS15264,12,24.7297,80.8326,C
WS15264,12,24.7464,80.8326,C
WS15320,12,24.712,80.8327,C
WS16004,12,24.713,80.8314,C
WS16074,12,24.7134,80.8316,C
WS16130,12,24.7132,80.8321,C
WS16207,12,24.7133,80.8316,C
WS16263,12,24.7134,80.8314,C
WS16319,12,24.7124,80.8314,C
WS17030,12,24.7126,80.8311,C
WS17086,12,24.7139,80.8316,C
WS17170,12,24.713,80.8288,F
WS17212,12,24.7132,80.8308,C
WS17282,12,24.713,80.8294,C
WS18008,12,24.7138,80.8334,C
SV18067,12,24.7113,80.8324,C
WS18120,12,24.7144,80.8225,C
SV18173,12,24.7117,80.8313,C
WS18218,12,24.7117,80.8293,C
WS18351,12,24.7129,80.8312,C
WS19119,12,24.7123,80.8333,C
WS19210,12,24.713,80.8326,C
WS19266,12,24.7118,80.8345,C
WS19322,12,24.7128,80.836,C
WS20006,12,24.7128,80.8323,C
WS20231,12,24.7128,80.833,C
WS20279,12,24.7128,80.8305,C
WS20342,12,24.7153,80.8287,C
WS21032,12,24.7147,80.8323,C
WS21093,12,24.713,80.8305,C
WS21151,12,24.7139,80.8345,C
WS21212,12,24.7157,80.8301,C
WS21278,12,24.7129,80.834,C
WS21278,12,24.7129,80.8347,C
WS21338,12,24.7124,80.832,C
WS22022,12,24.7127,80.8328,C
WS22072,12,24.7132,80.8321,C
WS22141,12,24.7135,80.8346,C
WB22215,12,24.7133,80.8295,C
WS22281,12,24.7134,80.8304,C
WS22337,12,24.7125,80.832,C
WS23011,12,24.7138,80.8314,C
WS23061,12,24.7132,80.8306,C
HG23138,12,24.713,80.8312,C
WS23203,12,24.7129,80.8322,C
WS23259,12,24.7131,80.8313,C
HG23314,12,24.7172,80.8348,C
HG24013,12,24.7137,80.831,C
HG24062,12,24.7136,80.832,C
WS24139,12,24.7135,80.8298,C
WS24205,12,24.7128,80.8352,C
WS24258,12,24.7132,80.8328,C
WS24314,12,24.7133,80.8312,C
WS14335,13,24.7008,81.03,F
WS15103,13,24.7016,81.0304,F
WS15148,13,24.7014,81.0299,F
WS15208,13,24.7017,81.0284,F
WS15264,13,24.702,81.0304,F
WS15320,13,24.7025,81.0302,F
WS16004,13,24.7011,81.0296,F
WS16074,13,24.7019,81.0302,F
WS16130,13,24.7017,81.0296,F
WS16207,13,24.7014,81.0304,F
WS16263,13,24.7014,81.0298,F
WS16319,13,24.7005,81.0306,F
WS17030,13,24.7012,81.0298,F
WS17086,13,24.697,81.031,F
WS17170,13,24.6838,81.0271,F
WS17212,13,24.701,81.0303,F
WS17282,13,24.702,81.0302,C
WS18008,13,24.7012,81.03,F
WS18120,13,24.7017,81.0322,F
SV18173,13,24.7014,81.03,F
WS18218,13,24.7012,81.0311,F
WS18351,13,24.7011,81.0291,F
WS19119,13,24.7012,81.029,F
WS19210,13,24.6988,81.0312,F
WS19266,13,24.7005,81.0282,F
WS19322,13,24.7012,81.0303,F
WS20006,13,24.7008,81.0282,F
WS20231,13,24.7013,81.0285,F
WS20279,13,24.699,81.0298,F
WS20342,13,24.7007,81.028,F
WS21032,13,24.7015,81.028,F
WS21093,13,24.7033,81.0197,F
WS21151,13,24.701,81.0309,F
WS21212,13,24.7019,81.029,F
WS21278,13,24.7018,81.0298,F
WS21338,13,24.7015,81.0298,F
WS22022,13,24.7005,81.0317,F
WS22072,13,24.7016,81.0299,F
WS22141,13,24.702,81.029,F
WB22215,13,24.6979,81.0289,F
WS22281,13,24.7021,81.0298,F
WS22337,13,24.7015,81.0285,F
WS23011,13,24.7017,81.0309,F
WS23061,13,24.7016,81.0292,F
HG23138,13,24.6992,81.0304,F
WS23203,13,24.701,81.0299,F
WS23259,13,24.7011,81.0297,F
HG23314,13,24.7016,81.0276,F
HG24013,13,24.7004,81.0305,F
HG24062,13,24.6991,81.0304,F
WS24139,13,24.7017,81.0287,F
WS24205,13,24.7013,81.029,F
WS24258,13,24.7015,81.0297,F
WS24314,13,24.701,81.0307,F
WS14335,14,24.6753,81.0244,F
WS15103,14,24.6753,81.0235,F
WS15148,14,24.675,81.0232,F
WS15208,14,24.6753,81.0236,F
WS15264,14,24.6759,81.0232,F
WS15320,14,24.675,81.0238,F
WS16004,14,24.6749,81.0232,F
WS16074,14,24.6745,81.0237,F
WS16130,14,24.6757,81.0235,F
WS16207,14,24.6773,81.0245,F
WS16263,14,24.6752,81.0231,F
WS16319,14,24.6751,81.023,F
WS17030,14,24.6748,81.0231,F
WS17086,14,24.677,81.0243,F
WS17170,14,24.6755,81.0241,F
WS17212,14,24.6747,81.019,F
WS17282,14,24.677,81.0234,C
WS18008,14,24.674,81.0229,F
SV18067,14,24.6751,81.0232,F
WS18120,14,24.6738,81.0229,F
SV18173,14,24.6748,81.0234,F
WS18218,14,24.676,81.0241,F
WS18351,14,24.6754,81.0227,F
WS19119,14,24.6758,81.0232,F
WS19210,14,24.6765,81.0252,F
WS19266,14,24.6773,81.025,F
WS19322,14,24.677,81.0253,F
WS20006,14,24.678,81.0257,F
WS20231,14,24.6757,81.025,F
WS20279,14,24.6767,81.0255,F
WS20342,14,24.6745,81.0233,F
WS21032,14,24.675,81.0243,F
WS21093,14,24.673,81.0242,F
WS21151,14,24.6752,81.0238,F
WS21212,14,24.6734,81.0234,F
WS21278,14,24.6741,81.0235,F
WS21338,14,24.6751,81.0235,F
WS22022,14,24.6739,81.0224,F
WS22072,14,24.6745,81.0233,F
WS22141,14,24.6745,81.0236,F
WB22215,14,24.6771,81.0206,F
WS22281,14,24.6755,81.0236,F
WS22337,14,24.6743,81.0228,F
WS23011,14,24.6752,81.0235,F
WS23061,14,24.6752,81.0235,F
HG23138,14,24.6752,81.0234,F
WS23203,14,24.6758,81.0243,F
WS23259,14,24.6751,81.0237,F
HG23314,14,24.676,81.0245,F
HG24013,14,24.675,81.0233,F
HG24062,14,24.6715,81.0224,F
WS24139,14,24.6764,81.0242,F
WS24205,14,24.6751,81.0239,F
WS24258,14,24.676,81.0242,F
WS24314,14,24.6793,81.0238,F
WS14335,15,24.6435,81.0183,F
WS15103,15,24.6436,81.016,F
WS15148,15,24.6431,81.0171,F
WS15208,15,24.6419,81.0167,C
WS15264,15,24.6436,81.0013,F
WS15320,15,24.6433,81.0171,F
WS16004,15,24.6439,81.0326,F
WS16074,15,24.6437,81.0167,F
WS16130,15,24.6442,81.0168,F
WS16207,15,24.6435,81.0167,F
WS16263,15,24.6432,81.0165,F
WS16319,15,24.6431,81.0165,F
WS17030,15,24.6441,81.0165,F
WS17086,15,24.6432,81.0164,F
WS17170,15,24.6455,81.0165,F
WS17212,15,24.6418,81.0183,F
WS17282,15,24.6453,81.0174,C
WS18008,15,24.644,81.0152,F
SV18067,15,24.644,81.0152,F
WS18120,15,24.6437,81.0166,F
SV18173,15,24.643,81.0169,F
WS18218,15,24.6438,81.017,F
WS18351,15,24.6433,81.0167,F
WS19119,15,24.6403,81.0162,F
WS19210,15,24.6452,81.016,F
WS19266,15,24.6448,81.0157,F
WS19322,15,24.646,81.0172,F
WS20006,15,24.6443,81.016,F
WS20231,15,24.643,81.0157,F
WS20279,15,24.6425,81.0153,F
WS20342,15,24.6435,81.0162,C
WS21032,15,24.643,81.0172,F
WS21093,15,24.6455,81.0088,F
WS21151,15,24.6451,81.017,F
WS21212,15,24.6431,81.0161,F
WS21278,15,24.6462,81.0137,F
WS21338,15,24.6437,81.0167,F
WS22022,15,24.6424,81.0156,F
WS22072,15,24.646,81.0143,F
WS22141,15,24.6437,81.0168,F
WB22215,15,24.6414,81.0194,F
WS22281,15,24.6442,81.0158,F
WS22337,15,24.6432,81.0155,F
WS23011,15,24.6432,81.0148,F
WS23061,15,24.6442,81.0162,F
HG23138,15,24.6415,81.0168,F
WS23203,15,24.6434,81.0165,F
WS23259,15,24.6435,81.0154,F
HG23314,15,24.6483,81.0196,F
HG24013,15,24.64,81.0151,F
HG24062,15,24.6417,81.0162,F
WS24139,15,24.6452,81.0161,F
WS24205,15,24.6441,81.017,F
WS24258,15,24.6438,81.0166,F
WS24314,15,24.643,81.017,F
WS14335,15.5,24.5924,80.9939,F
WS15103,15.5,24.5918,80.9919,F
WS15148,15.5,24.592,80.9913,F
WS15208,15.5,24.5928,80.9903,C
WS15264,15.5,24.5924,80.9913,F
WS15320,15.5,24.5911,80.9914,F
WS16004,15.5,24.5918,80.9912,F
WS16074,15.5,24.5913,80.9925,F
WS16130,15.5,24.5923,80.9917,F
WS16207,15.5,24.5933,80.9923,F
WS16263,15.5,24.5913,80.9906,F
WS16319,15.5,24.592,80.9917,F
WS17030,15.5,24.5918,80.9927,F
WS17086,15.5,24.5955,80.9929,F
WS17170,15.5,24.5934,80.9937,F
WS17212,15.5,24.5903,80.9909,F
WS17282,15.5,24.595,80.994,C
WS18008,15.5,24.5914,80.994,F
SV18067,15.5,24.5918,80.9915,F
SV18173,15.5,24.5917,80.9914,F
WS18218,15.5,24.5903,80.9936,F
WS18351,15.5,24.5926,80.9917,F
WS19119,15.5,24.5918,80.9895,F
WS19210,15.5,24.5913,80.9908,F
WS19266,15.5,24.5925,80.9898,F
WS19322,15.5,24.5888,80.9947,F
WS20006,15.5,24.5923,80.991,F
WS20231,15.5,24.5917,80.9917,F
WS20279,15.5,24.5985,80.9945,F
