CTDID,SiteID,Latitude,Longitude
WS10067_1,1,25.6463333333333,-80.1243333333333
WS10180_1,1,25.6450000000000,-80.1266666666667
WS11052_1,1,25.6455000000000,-80.1240666666667
WS11094_1,1,25.6465833333333,-80.1238833333333
WS11158_1,1,25.6456000000000,-80.1280000000000
WS11293_1,1,25.6447333333333,-80.1240333333333
WS11345_2,1,25.6457000000000,-80.1233666666667
WS12058_3,1,25.6444000000000,-80.1206666666667
WS12156_1,1,25.6457000000000,-80.1252000000000
WS12219_3,1,25.6446833330000,-80.1229333330000
WS14335_1,1,25.6449733333333,-80.1251833333333
WS15103_6,1,25.6398333333333,-80.1220000000000
WS15152_1,1,25.6447200000000,-80.1243733333333
WS15208_1,1,25.6448366666667,-80.1246683333333
WS15264_1,1,25.6445350000000,-80.1271316666667
WS15320_1,1,25.6443093333333,-80.1261266666667
WS16004_1,1,25.6449833333333,-80.1267333333333
WS16074_1,1,25.6451966666667,-80.1270883333333
WS16130_1,1,25.6440833333333,-80.1203833333333
WS16207_1,1,25.6447666666667,-80.1246000000000
WS16263_1,1,25.6438283333333,-80.1186666666667
WS16319_1,1,25.6452000000000,-80.1271000000000
WS17030_1,1,25.6452133333333,-80.1270833333333
WS17086_1,1,25.6444025000000,-80.1224983333333
WS17170_1,1,25.6448166666667,-80.1266766666667
WS17212_3,1,25.6464300000000,-80.1261066666667
WS17282_1,1,25.6445833333333,-80.0441666666667
SAV18067_3,1,25.6452000000000,-80.1268833333333
WS18120_1,1,25.6333333333333,-80.1259833333333
SAV18173_1,1,25.6463000000000,-80.0830333333333
WS18218_1,1,25.6453160000000,-80.1269270000000
WS18285_1,1,25.6447180000000,-80.1253200000000
WS18351_1,1,25.6445960000000,-80.1250231666667
WS19119_1,1,25.6440439166667,-80.1216144166667
WS19210_1,1,25.6450710000000,-80.1267160000000
WS19266_1,1,25.6440430000000,-80.1205210000000
WS19322_1,1,25.6446360000000,-80.1255730000000
WS20006_1,1,25.6449210000000,-80.1261330000000
WS20231_1,1,25.6440340000000,-80.1262150000000
WS20279_1,1,25.6451710000000,-80.1276380000000
WS20342_1,1,25.6450210000000,-80.1271230000000
WS21032_1,1,25.6450600000000,-80.1287950000000
WS21093_1,1,25.6450820000000,-80.1275250000000
