key,date,cruise_id,station,event_n,scan,salinity,temperature,pressure,sea_water_electrical_conductivity,CDOM,dissolved_oxygen,oxygen_saturation,chlorophyll_concentration,chlorophyll_fluorescence,photosynthetically_available_radiation,beam_attenuation,beam_transmission,depth,sea_water_sigma_t,sound_velocity,altimeter
2006-01-18_WS0603_58,2006-01-18,WS0603,58,20,20,20,20,20,20,0,18,18,0,20,20,20,20,20,20,20,20
2006-01-18_WS0603_59,2006-01-18,WS0603,59,14,14,13,14,14,13,0,12,12,0,14,14,14,14,14,13,13,14
2006-01-18_WS0603_60,2006-01-18,WS0603,60,10,10,9,10,10,9,0,8,8,0,10,10,10,10,10,9,9,10
2006-01-18_WS0603_61,2006-01-18,WS0603,61,7,7,6,7,7,6,0,5,5,0,7,7,7,7,7,6,6,7
2006-01-18_WS0603_62,2006-01-18,WS0603,62,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5
2006-01-18_WS0603_63,2006-01-18,WS0603,63,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4
2006-01-18_WS0603_64,2006-01-18,WS0603,64,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3
2006-01-18_WS0603_65,2006-01-18,WS0603,65,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2
2006-01-18_WS0603_66,2006-01-18,WS0603,66,3,3,2,3,3,2,0,1,1,0,3,3,3,3,3,2,2,3
2006-01-18_WS0603_67,2006-01-18,WS0603,67,5,5,4,5,5,4,0,3,3,0,5,5,5,5,5,4,4,5
2006-01-18_WS0603_68,2006-01-18,WS0603,68,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-01-18_WS0603_69,2006-01-18,WS0603,69,4,4,4,4,4,4,0,2,2,0,4,4,4,4,4,4,4,4
2006-01-18_WS0603_70,2006-01-18,WS0603,70,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2
2006-01-18_WS0603_71,2006-01-18,WS0603,71,2,2,2,2,2,2,0,1,1,0,2,2,2,2,2,2,2,2
2006-01-19_WS0603_39,2006-01-19,WS0603,39,3,3,2,3,3,2,0,2,2,0,3,0,3,3,3,2,2,3
2006-01-19_WS0603_40,2006-01-19,WS0603,40,6,6,5,6,6,5,0,5,5,0,6,3,6,6,6,5,5,6
2006-01-19_WS0603_41,2006-01-19,WS0603,41,8,8,8,8,8,8,0,7,7,0,8,5,8,8,8,8,8,8
2006-01-19_WS0603_44,2006-01-19,WS0603,44,16,16,16,16,16,16,0,15,15,0,16,1,16,16,16,16,16,16
2006-01-19_WS0603_45,2006-01-19,WS0603,45,9,9,9,9,9,9,0,8,8,0,9,0,9,9,9,9,9,9
2006-01-19_WS0603_46,2006-01-19,WS0603,46,9,9,9,9,9,9,0,8,8,0,9,2,9,9,9,9,9,9
2006-01-19_WS0603_47,2006-01-19,WS0603,47,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6
2006-01-19_WS0603_48,2006-01-19,WS0603,48,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4
2006-01-19_WS0603_49,2006-01-19,WS0603,49,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-01-19_WS0603_50,2006-01-19,WS0603,50,7,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7
2006-01-19_WS0603_51,2006-01-19,WS0603,51,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6
2006-01-19_WS0603_52,2006-01-19,WS0603,52,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2
2006-01-19_WS0603_53,2006-01-19,WS0603,53,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4
2006-01-19_WS0603_54,2006-01-19,WS0603,54,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5
2006-01-19_WS0603_55,2006-01-19,WS0603,55,4,4,3,4,4,3,0,2,2,0,4,4,4,4,4,3,3,4
2006-01-19_WS0603_56,2006-01-19,WS0603,56,4,4,3,4,4,3,0,3,3,0,4,4,4,4,4,3,3,4
2006-01-19_WS0603_57,2006-01-19,WS0603,57,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5
2006-01-20_WS0603_42,2006-01-20,WS0603,42,15,15,15,15,15,15,0,14,14,0,15,10,15,15,15,15,15,15
2006-01-20_WS0603_CAL1,2006-01-20,WS0603,CAL1,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5
2006-01-20_WS0603_CAL2,2006-01-20,WS0603,CAL2,12,12,12,12,12,12,0,12,12,0,12,12,12,12,12,12,12,12
2006-01-20_WS0603_CAL3,2006-01-20,WS0603,CAL3,16,16,16,16,16,16,0,16,16,0,16,16,16,16,16,16,16,16
2006-01-20_WS0603_CAL4,2006-01-20,WS0603,CAL4,24,24,24,24,24,24,0,23,23,0,24,24,24,24,24,24,24,24
2006-01-20_WS0603_CAL5,2006-01-20,WS0603,CAL5,34,34,34,34,34,34,0,34,34,0,34,34,34,34,34,34,34,34
2006-01-20_WS0603_CH1,2006-01-20,WS0603,CH1,15,15,15,15,15,15,0,14,14,0,15,14,15,15,15,15,15,15
2006-01-20_WS0603_CH2,2006-01-20,WS0603,CH2,18,18,18,18,18,18,0,18,18,0,18,15,18,18,18,18,18,18
2006-01-20_WS0603_CH3,2006-01-20,WS0603,CH3,32,32,32,32,32,32,0,32,32,0,32,0,32,32,32,32,32,32
2006-01-20_WS0603_CH4,2006-01-20,WS0603,CH4,49,49,49,49,49,49,0,48,48,0,49,45,49,49,49,49,49,49
2006-01-20_WS0603_CH5,2006-01-20,WS0603,CH5,55,55,54,55,55,54,0,54,54,0,55,0,55,55,55,54,54,55
2006-01-21_WS0603_29,2006-01-21,WS0603,29,63,63,63,63,63,63,0,62,62,0,63,0,63,63,63,63,63,63
2006-01-21_WS0603_29.5,2006-01-21,WS0603,29.5,55,55,54,55,55,54,0,54,54,0,55,0,55,55,55,54,54,55
2006-01-21_WS0603_30,2006-01-21,WS0603,30,48,48,48,48,48,48,0,48,48,0,48,0,48,48,48,48,48,48
2006-01-21_WS0603_31,2006-01-21,WS0603,31,27,27,27,27,27,27,0,27,27,0,27,0,27,27,27,27,27,27
2006-01-21_WS0603_32,2006-01-21,WS0603,32,18,18,18,18,18,18,0,18,18,0,18,0,18,18,18,18,18,18
2006-01-21_WS0603_33,2006-01-21,WS0603,33,15,15,15,15,15,15,0,15,15,0,15,0,15,15,15,15,15,15
2006-01-21_WS0603_34,2006-01-21,WS0603,34,9,9,8,9,9,8,0,8,8,0,9,9,9,9,9,8,8,9
2006-01-22_WS0603_28,2006-01-22,WS0603,28,49,49,49,49,49,49,0,48,48,0,49,0,49,49,49,49,49,49
2006-01-22_WS0603_28.5,2006-01-22,WS0603,28.5,62,62,62,62,62,62,0,62,62,0,62,0,62,62,62,62,62,62
2006-01-22_WS0603_DT1,2006-01-22,WS0603,DT1,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20
2006-01-22_WS0603_DT10,2006-01-22,WS0603,DT10,43,43,42,43,43,42,0,41,41,0,43,0,43,43,43,42,42,43
2006-01-22_WS0603_DT11,2006-01-22,WS0603,DT11,38,38,38,38,38,38,0,37,37,0,38,0,38,38,38,38,38,38
2006-01-22_WS0603_DT2,2006-01-22,WS0603,DT2,38,38,37,38,38,37,0,36,36,0,38,38,38,38,38,37,37,38
2006-01-22_WS0603_DT3,2006-01-22,WS0603,DT3,111,111,111,111,111,111,0,109,109,0,111,111,111,111,111,111,111,111
2006-01-22_WS0603_DT4,2006-01-22,WS0603,DT4,123,123,123,123,123,123,0,120,120,0,123,123,123,123,123,123,123,123
2006-01-22_WS0603_DT5,2006-01-22,WS0603,DT5,128,128,128,128,128,128,0,125,125,0,128,128,128,128,128,128,128,128
2006-01-22_WS0603_DT6,2006-01-22,WS0603,DT6,295,295,294,295,295,294,0,290,290,0,295,295,295,295,295,294,294,295
2006-01-22_WS0603_DT7,2006-01-22,WS0603,DT7,1143,1143,1143,1143,1143,1143,0,1139,1139,0,1143,1143,1143,1143,1143,1143,1143,1143
2006-01-22_WS0603_DT8,2006-01-22,WS0603,DT8,382,382,382,382,382,382,0,378,378,0,382,4,382,382,382,382,382,382
2006-01-22_WS0603_DT9,2006-01-22,WS0603,DT9,97,97,97,97,97,97,0,95,95,0,97,0,97,97,97,97,97,97
2006-01-23_WS0603_22,2006-01-23,WS0603,22,56,56,56,56,56,56,0,54,54,0,56,56,56,56,56,56,56,56
2006-01-23_WS0603_22.5,2006-01-23,WS0603,22.5,281,281,280,281,281,280,0,279,279,0,281,281,281,281,281,280,280,281
2006-01-23_WS0603_23,2006-01-23,WS0603,23,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20
2006-01-23_WS0603_24,2006-01-23,WS0603,24,14,14,14,14,14,14,0,12,12,0,14,14,14,14,14,14,14,14
2006-01-23_WS0603_25,2006-01-23,WS0603,25,104,104,104,104,104,104,0,99,99,0,104,104,104,104,104,104,104,104
2006-01-23_WS0603_25.5,2006-01-23,WS0603,25.5,626,626,625,626,626,625,0,622,622,0,626,626,626,626,626,625,625,626
2006-01-23_WS0603_26,2006-01-23,WS0603,26,39,39,38,39,39,38,0,37,37,0,39,39,39,39,39,38,38,39
2006-01-23_WS0603_27,2006-01-23,WS0603,27,55,55,55,55,55,55,0,54,54,0,55,55,55,55,55,55,55,55
2006-01-24_WS0603_13,2006-01-24,WS0603,13,8,8,8,8,8,8,0,7,7,0,8,8,8,8,8,8,8,8
2006-01-24_WS0603_14,2006-01-24,WS0603,14,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20
2006-01-24_WS0603_15,2006-01-24,WS0603,15,65,65,64,65,65,64,0,63,63,0,65,65,65,65,65,64,64,65
2006-01-24_WS0603_15.5,2006-01-24,WS0603,15.5,242,242,242,242,242,242,0,242,242,0,242,242,242,242,242,242,242,242
2006-01-24_WS0603_16,2006-01-24,WS0603,16,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5
2006-01-24_WS0603_17,2006-01-24,WS0603,17,18,18,18,18,18,18,0,17,17,0,18,18,18,18,18,18,18,18
2006-01-24_WS0603_18,2006-01-24,WS0603,18,46,46,46,46,46,46,0,46,46,0,46,46,46,46,46,46,46,46
2006-01-24_WS0603_19,2006-01-24,WS0603,19,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6
2006-01-24_WS0603_20,2006-01-24,WS0603,20,20,20,20,20,20,20,0,19,19,0,20,20,20,20,20,20,20,20
2006-01-24_WS0603_21,2006-01-24,WS0603,21,58,58,58,58,58,58,0,56,56,0,58,58,58,58,58,58,58,58
2006-01-24_WS0603_21.5,2006-01-24,WS0603,21.5,263,263,262,263,263,262,0,260,260,0,263,263,263,263,263,262,262,263
2006-01-25_WS0603_1,2006-01-25,WS0603,1,12,12,12,12,12,12,0,11,11,0,12,12,12,12,12,12,12,12
2006-01-25_WS0603_10,2006-01-25,WS0603,10,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5
2006-01-25_WS0603_11,2006-01-25,WS0603,11,11,11,11,11,11,11,0,10,10,0,11,11,11,11,11,11,11,11
2006-01-25_WS0603_12,2006-01-25,WS0603,12,64,64,63,64,64,63,0,63,63,0,64,64,64,64,64,63,63,64
2006-01-25_WS0603_2,2006-01-25,WS0603,2,8,8,8,8,8,8,0,7,7,0,8,8,8,8,8,8,8,8
2006-01-25_WS0603_3,2006-01-25,WS0603,3,86,86,86,86,86,86,0,84,84,0,86,86,86,86,86,86,86,86
2006-01-25_WS0603_4,2006-01-25,WS0603,4,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5
2006-01-25_WS0603_5,2006-01-25,WS0603,5,11,11,10,11,11,10,0,10,10,0,11,11,11,11,11,10,10,11
2006-01-25_WS0603_5.5,2006-01-25,WS0603,5.5,6,6,5,6,6,5,0,5,5,0,6,6,6,6,6,5,5,6
2006-01-25_WS0603_6,2006-01-25,WS0603,6,71,71,71,71,71,71,0,71,71,0,71,71,71,71,71,71,71,71
2006-01-25_WS0603_6.5,2006-01-25,WS0603,6.5,144,144,144,144,144,144,0,143,143,0,144,144,144,144,144,144,144,144
2006-01-25_WS0603_7,2006-01-25,WS0603,7,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3
2006-01-25_WS0603_8,2006-01-25,WS0603,8,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7
2006-01-25_WS0603_9,2006-01-25,WS0603,9,63,63,62,63,63,62,0,62,62,0,63,63,63,63,63,62,62,63
2006-01-25_WS0603_9.5,2006-01-25,WS0603,9.5,241,241,240,241,241,240,0,240,240,0,241,241,241,241,241,240,240,241
2006-05-02_WS0612_1,2006-05-02,WS0612,1,13,13,13,13,13,13,0,12,12,0,13,13,13,13,13,13,13,13
2006-05-02_WS0612_2,2006-05-02,WS0612,2,12,12,12,12,12,12,0,10,10,0,12,12,12,12,12,12,12,12
2006-05-02_WS0612_3,2006-05-02,WS0612,3,90,90,90,90,90,90,0,88,88,0,90,90,90,90,90,90,90,90
2006-05-02_WS0612_4,2006-05-02,WS0612,4,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-05-02_WS0612_5,2006-05-02,WS0612,5,12,12,11,12,12,11,0,9,9,0,12,12,12,12,12,11,11,12
2006-05-02_WS0612_5.5,2006-05-02,WS0612,5.5,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3
2006-05-02_WS0612_6,2006-05-02,WS0612,6,25,25,24,25,25,24,0,24,24,0,25,25,25,25,25,24,24,25
2006-05-02_WS0612_6.5,2006-05-02,WS0612,6.5,142,142,142,142,142,142,0,141,141,0,142,142,142,142,142,142,142,142
2006-05-02_WS0612_7,2006-05-02,WS0612,7,4,4,3,4,4,3,0,3,3,0,4,4,4,4,4,3,3,4
2006-05-03_WS0612_10,2006-05-03,WS0612,10,7,7,6,7,7,6,0,6,6,0,7,7,7,7,7,6,6,7
2006-05-03_WS0612_11,2006-05-03,WS0612,11,10,10,9,10,10,9,0,9,9,0,10,10,10,10,10,9,9,10
2006-05-03_WS0612_12,2006-05-03,WS0612,12,62,62,62,62,62,62,0,61,61,0,62,62,62,62,62,62,62,62
2006-05-03_WS0612_13,2006-05-03,WS0612,13,6,6,6,6,6,6,0,4,4,0,6,6,6,6,6,6,6,6
2006-05-03_WS0612_14,2006-05-03,WS0612,14,17,17,17,17,17,17,0,16,16,0,17,17,17,17,17,17,17,17
2006-05-03_WS0612_15,2006-05-03,WS0612,15,65,65,64,65,65,64,0,64,64,0,65,65,65,65,65,64,64,65
2006-05-03_WS0612_15.5,2006-05-03,WS0612,15.5,259,259,259,259,259,259,0,258,258,0,259,259,259,259,259,259,259,259
2006-05-03_WS0612_16,2006-05-03,WS0612,16,9,9,8,9,9,8,0,7,7,0,9,9,9,9,9,8,8,9
2006-05-03_WS0612_17,2006-05-03,WS0612,17,19,19,19,19,19,19,0,18,18,0,19,19,19,19,19,19,19,19
2006-05-03_WS0612_18,2006-05-03,WS0612,18,56,56,56,56,56,56,0,55,55,0,56,56,56,56,56,56,56,56
2006-05-03_WS0612_19,2006-05-03,WS0612,19,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-05-03_WS0612_20,2006-05-03,WS0612,20,21,21,21,21,21,21,0,21,21,0,21,21,21,21,21,21,21,21
2006-05-03_WS0612_21,2006-05-03,WS0612,21,60,60,60,60,60,60,0,58,58,0,60,60,60,60,60,60,60,60
2006-05-03_WS0612_21.5,2006-05-03,WS0612,21.5,278,278,277,278,278,277,0,277,277,0,278,278,278,278,278,277,277,278
2006-05-03_WS0612_23,2006-05-03,WS0612,23,16,16,16,16,16,16,0,16,16,0,16,16,16,16,16,16,16,16
2006-05-03_WS0612_24,2006-05-03,WS0612,24,12,12,11,12,12,11,0,11,11,0,12,12,12,12,12,11,11,12
2006-05-03_WS0612_8,2006-05-03,WS0612,8,9,9,9,9,9,9,0,8,8,0,9,9,9,9,9,9,9,9
2006-05-03_WS0612_9,2006-05-03,WS0612,9,62,62,62,62,62,62,0,61,61,0,62,62,62,62,62,62,62,62
2006-05-03_WS0612_9.5,2006-05-03,WS0612,9.5,246,246,246,246,246,246,0,246,246,0,246,246,246,246,246,246,246,246
2006-05-04_WS0612_22,2006-05-04,WS0612,22,58,58,58,58,58,58,0,57,57,0,58,58,58,58,58,58,58,58
2006-05-04_WS0612_22.5,2006-05-04,WS0612,22.5,281,281,280,281,281,280,0,279,279,0,281,281,281,281,281,280,280,281
2006-05-04_WS0612_25,2006-05-04,WS0612,25,104,104,104,104,104,104,0,104,104,0,104,104,104,104,104,104,104,104
2006-05-04_WS0612_25.5,2006-05-04,WS0612,25.5,665,665,665,665,665,665,0,663,663,0,665,665,665,665,665,665,665,665
2006-05-04_WS0612_26,2006-05-04,WS0612,26,38,38,38,38,38,38,0,37,37,0,38,38,38,38,38,38,38,38
2006-05-04_WS0612_27,2006-05-04,WS0612,27,53,53,52,53,53,52,0,50,50,0,53,53,53,53,53,52,52,53
2006-05-05_WS0612_DT01,2006-05-05,WS0612,DT01,21,21,21,21,21,21,0,21,21,0,21,21,21,21,21,21,21,21
2006-05-05_WS0612_DT02,2006-05-05,WS0612,DT02,38,38,38,38,38,38,0,37,37,0,38,38,38,38,38,38,38,38
2006-05-05_WS0612_DT03,2006-05-05,WS0612,DT03,113,113,113,113,113,113,0,112,112,0,113,113,113,113,113,113,113,113
2006-05-05_WS0612_DT04,2006-05-05,WS0612,DT04,124,124,124,124,124,124,0,124,124,0,124,124,124,124,124,124,124,124
2006-05-05_WS0612_DT05,2006-05-05,WS0612,DT05,126,126,126,126,126,126,0,126,126,0,126,126,126,126,126,126,126,126
2006-05-05_WS0612_DT06,2006-05-05,WS0612,DT06,317,317,317,317,317,317,0,316,316,0,317,317,317,317,317,317,317,317
2006-05-05_WS0612_DT07,2006-05-05,WS0612,DT07,1171,1171,1170,1171,1171,1170,0,1168,1168,0,1171,1171,1171,1171,1171,1170,1170,1171
2006-05-05_WS0612_DT08,2006-05-05,WS0612,DT08,373,373,373,373,373,373,0,373,373,0,373,373,373,373,373,373,373,373
2006-05-05_WS0612_DT09,2006-05-05,WS0612,DT09,99,99,99,99,99,99,0,99,99,0,99,99,99,99,99,99,99,99
2006-05-05_WS0612_DT10,2006-05-05,WS0612,DT10,45,45,44,45,45,44,0,44,44,0,45,45,45,45,45,44,44,45
2006-05-05_WS0612_DT11,2006-05-05,WS0612,DT11,40,40,40,40,40,40,0,38,38,0,40,40,40,40,40,40,40,40
2006-05-05_WS0612_DTXX,2006-05-05,WS0612,DTXX,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2006-05-06_WS0612_28,2006-05-06,WS0612,28,55,55,55,55,55,55,0,53,53,0,55,55,55,55,55,55,55,55
2006-05-06_WS0612_28.5,2006-05-06,WS0612,28.5,61,61,61,61,61,61,0,61,61,0,61,61,61,61,61,61,61,61
2006-05-06_WS0612_29,2006-05-06,WS0612,29,61,61,61,61,61,61,0,61,61,0,61,61,61,61,61,61,61,61
2006-05-06_WS0612_29.5,2006-05-06,WS0612,29.5,56,56,56,56,56,56,0,56,56,0,56,56,56,56,56,56,56,56
2006-05-06_WS0612_30,2006-05-06,WS0612,30,45,45,45,45,45,45,0,44,44,0,45,45,45,45,45,45,45,45
2006-05-06_WS0612_30.5,2006-05-06,WS0612,30.5,37,37,37,37,37,37,0,37,37,0,37,37,37,37,37,37,37,37
2006-05-06_WS0612_31,2006-05-06,WS0612,31,28,28,28,28,28,28,0,27,27,0,28,28,28,28,28,28,28,28
2006-05-06_WS0612_32,2006-05-06,WS0612,32,20,20,20,20,20,20,0,18,18,0,20,20,20,20,20,20,20,20
2006-05-06_WS0612_33,2006-05-06,WS0612,33,14,14,14,14,14,14,0,13,13,0,14,14,14,14,14,14,14,14
2006-05-06_WS0612_34,2006-05-06,WS0612,34,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6
2006-05-07_WS0612_CAL1,2006-05-07,WS0612,CAL1,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5
2006-05-07_WS0612_CAL2,2006-05-07,WS0612,CAL2,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10
2006-05-07_WS0612_CAL3,2006-05-07,WS0612,CAL3,14,14,13,14,14,13,0,13,13,0,14,14,14,14,14,13,13,14
2006-05-07_WS0612_CAL4,2006-05-07,WS0612,CAL4,22,22,22,22,22,22,0,21,21,0,22,22,22,22,22,22,22,22
2006-05-07_WS0612_CAL5,2006-05-07,WS0612,CAL5,32,32,32,32,32,32,0,32,32,0,32,32,32,32,32,32,32,32
2006-05-07_WS0612_CH1,2006-05-07,WS0612,CH1,18,18,18,18,18,18,0,18,18,0,18,18,18,18,18,18,18,18
2006-05-07_WS0612_CH2,2006-05-07,WS0612,CH2,16,16,16,16,16,16,0,15,15,0,16,16,16,16,16,16,16,16
2006-05-07_WS0612_CH3,2006-05-07,WS0612,CH3,30,30,30,30,30,30,0,29,29,0,30,30,30,30,30,30,30,30
2006-05-07_WS0612_CH4,2006-05-07,WS0612,CH4,43,43,43,43,43,43,0,43,43,0,43,43,43,43,43,43,43,43
2006-05-07_WS0612_CH5,2006-05-07,WS0612,CH5,53,53,53,53,53,53,0,53,53,0,53,53,53,53,53,53,53,53
2006-05-08_WS0612_39,2006-05-08,WS0612,39,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-05-08_WS0612_40,2006-05-08,WS0612,40,6,6,6,6,6,6,0,5,5,0,6,6,6,6,6,6,6,6
2006-05-08_WS0612_41,2006-05-08,WS0612,41,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7
2006-05-08_WS0612_42,2006-05-08,WS0612,42,14,14,14,14,14,14,0,12,12,0,14,14,14,14,14,14,14,14
2006-05-08_WS0612_45,2006-05-08,WS0612,45,10,10,10,10,10,10,0,9,9,0,10,10,10,10,10,10,10,10
2006-05-08_WS0612_46,2006-05-08,WS0612,46,9,9,9,9,9,9,0,9,9,0,9,9,9,9,9,9,9,9
2006-05-08_WS0612_47,2006-05-08,WS0612,47,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7
2006-05-08_WS0612_48,2006-05-08,WS0612,48,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6
2006-05-08_WS0612_49,2006-05-08,WS0612,49,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-05-08_WS0612_50,2006-05-08,WS0612,50,9,9,9,9,9,9,0,8,8,0,9,9,9,9,9,9,9,9
2006-05-08_WS0612_51,2006-05-08,WS0612,51,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7
2006-05-08_WS0612_52,2006-05-08,WS0612,52,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3
2006-05-08_WS0612_53,2006-05-08,WS0612,53,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2006-05-08_WS0612_54,2006-05-08,WS0612,54,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2006-05-08_WS0612_55,2006-05-08,WS0612,55,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2006-05-08_WS0612_56,2006-05-08,WS0612,56,3,3,3,3,3,3,0,2,2,0,3,3,3,3,3,3,3,3
2006-05-08_WS0612_57,2006-05-08,WS0612,57,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5
2006-05-09_WS0612_60,2006-05-09,WS0612,60,9,9,9,9,9,9,0,7,7,0,9,9,9,9,9,9,9,9
2006-05-09_WS0612_61,2006-05-09,WS0612,61,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7
2006-05-09_WS0612_62,2006-05-09,WS0612,62,5,5,5,5,5,5,0,4,4,0,5,5,5,5,5,5,5,5
2006-05-09_WS0612_63,2006-05-09,WS0612,63,4,4,3,4,4,3,0,3,3,0,4,4,4,4,4,3,3,4
2006-05-09_WS0612_65,2006-05-09,WS0612,65,6,6,6,6,6,6,0,4,4,0,6,6,6,6,6,6,6,6
2006-05-09_WS0612_66,2006-05-09,WS0612,66,5,5,4,5,5,4,0,4,4,0,5,5,5,5,5,4,4,5
2006-05-09_WS0612_67,2006-05-09,WS0612,67,5,5,5,5,5,5,0,3,3,0,5,5,5,5,5,5,5,5
2006-05-09_WS0612_68,2006-05-09,WS0612,68,7,7,7,7,7,7,0,6,6,0,7,7,7,7,7,7,7,7
2006-05-09_WS0612_69,2006-05-09,WS0612,69,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6
2006-05-09_WS0612_70,2006-05-09,WS0612,70,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4
2006-05-09_WS0612_71,2006-05-09,WS0612,71,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3
2006-08-05_WS0618_60,2006-08-05,WS0618,60,10,10,10,10,10,10,0,9,9,0,10,10,10,10,10,10,10,10
2006-08-05_WS0618_68,2006-08-05,WS0618,68,4,4,4,4,4,4,0,3,3,0,4,4,4,4,4,4,4,4
2006-08-06_WS0618_56,2006-08-06,WS0618,56,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3
2006-08-06_WS0618_58,2006-08-06,WS0618,58,35,35,35,35,35,35,0,1,1,0,34,35,35,35,35,35,35,34
2006-08-07_WS0618_39,2006-08-07,WS0618,39,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4
2006-08-07_WS0618_44,2006-08-07,WS0618,44,13,13,13,13,13,13,0,13,13,0,13,13,13,13,13,13,13,13
2006-08-07_WS0618_49,2006-08-07,WS0618,49,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4
2006-08-07_WS0618_50,2006-08-07,WS0618,50,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10
2006-08-07_WS0618_53,2006-08-07,WS0618,53,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3
2006-08-07_WS0618_54,2006-08-07,WS0618,54,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5
2006-08-08_WS0618_CH2,2006-08-08,WS0618,CH2,21,21,21,21,21,21,0,20,20,0,21,21,21,21,21,21,21,21
2006-08-08_WS0618_CH5,2006-08-08,WS0618,CH5,54,54,54,54,54,54,0,53,53,0,54,54,54,54,54,54,54,54
2006-08-08_WS0618_CH5A,2006-08-08,WS0618,CH5A,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
2006-08-09_WS0618_CAL1,2006-08-09,WS0618,CAL1,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5
2006-08-09_WS0618_CAL5,2006-08-09,WS0618,CAL5,30,30,30,30,30,30,0,29,29,0,30,30,30,30,30,30,30,30
2006-08-10_WS0618_29,2006-08-10,WS0618,29,63,63,63,63,63,63,0,63,63,0,63,63,63,63,63,63,63,63
2006-08-10_WS0618_30,2006-08-10,WS0618,30,48,48,48,48,48,48,0,48,48,0,48,48,48,48,48,48,48,48
2006-08-10_WS0618_31,2006-08-10,WS0618,31,27,27,26,27,27,26,0,26,26,0,27,27,27,27,27,26,26,27
2006-08-10_WS0618_32,2006-08-10,WS0618,32,19,19,19,19,19,19,0,18,18,0,19,19,19,19,19,19,19,19
2006-08-10_WS0618_33,2006-08-10,WS0618,33,13,13,12,13,13,12,0,12,12,0,13,13,13,13,13,12,12,13
2006-08-10_WS0618_34,2006-08-10,WS0618,34,7,7,7,7,7,7,0,7,7,0,7,7,7,7,7,7,7,7
