cruise_id,station,latitude,longitude
WS20279,.002,25.6423333333333,-80.1063333333333
WS21093,.002,25.6395,-80.1076666666667
WS21338,.002,25.6418333333333,-80.1055
WS22141,.002,25.6431666666667,-80.1061666666667
WS23010,.002,25.6426666666667,-80.1055
WS22072,.006_5,25.0516666666667,-80.2865
WS21093,.007,24.8158333333333,-80.756
WS22072,.007,24.8171666666667,-80.7556666666667
WS22141,.007,24.817,-80.7563333333333
WS23010,.007,24.8148333333333,-80.7541666666667
WS23061,.007,24.8161666666667,-80.7536666666667
WS22141,.009,24.764,-80.7235
WS23010,.009,24.7655,-80.7236666666667
WS23061,.009,24.7633333333333,-80.7245
WS22141,.0095,24.716,-80.6908333333333
WS23010,.009_5,24.718,-80.6923333333333
WS23061,.009_5,24.7151666666667,-80.6848333333333
WS21093,.010,24.7878333333333,-80.8625
WS22072,.010,24.789,-80.86
WS22141,.010,24.788,-80.8623333333333
WS23010,.010,24.7871666666667,-80.8606666666667
WS23061,.010,24.7883333333333,-80.8643333333333
WS22072,.012,24.7131666666667,-80.832
WS22141,.012,24.7135,-80.8345
WS23010,.012,24.7138333333333,-80.8313333333333
WS23061,.012,24.7131666666667,-80.8306666666667
WS21093,.016,24.6701666666667,-81.2021666666667
WS22072,.016,24.672,-81.2028333333333
WS22141,.016,24.6715,-81.2033333333333
WS23010,.016,24.6705,-81.2028333333333
WS23061,.016,24.67,-81.2011666666667
WS22072,.018,24.598,-81.1836666666667
WS22141,.018,24.5996666666667,-81.187
WS23010,.018,24.5971666666667,-81.1835
WS23061,.018,24.5988333333333,-81.1805
WS22072,.02,25.6418333333333,-80.1055
WS22072,.03,25.6453333333333,-80.0846666666667
WS22072,.030,25.4031666666667,-82.2125
WS22141,.030,25.3996666666667,-82.2096666666667
WS23010,.030,25.3991666666667,-82.2081666666667
WS23061,.030,25.4025,-82.21
WS22072,.031,25.7415,-81.944
WS22141,.031,25.742,-81.9456666666667
WS23010,.031,25.74,-81.9411666666667
WS23061,.031,25.742,-81.9388333333333
WS22072,.033,25.9125,-81.8006666666667
WS22141,.033,25.9083333333333,-81.8026666666667
WS23010,.033,25.9096666666667,-81.797
WS23061,.033,25.9103333333333,-81.801
WS23061,.033UP,25.911,-81.8006666666667
WS22072,.041,25.7335,-81.575
WS22141,.041,25.7333333333333,-81.5731666666667
WS23010,.041,25.7325,-81.5753333333333
WS23061,.041,25.733,-81.5738333333333
WS22072,.045,25.5828333333333,-81.4723333333333
WS22141,.045,25.5876666666667,-81.4721666666667
WS23010,.045,25.5828333333333,-81.4708333333333
WS23061,.045,25.5831666666667,-81.4706666666667
WS22072,.047,25.583,-81.3668333333333
WS22141,.047,25.5828333333333,-81.3686666666667
WS23010,.047,25.5825,-81.3676666666667
WS23061,.047,25.5838333333333,-81.3665
WS23010,.049,25.5818333333333,-81.2935
